Nom,X LAMB93 Centre,Y LAMB93 Centre,X LAMB93 Exutoire,Y LAMB93 Exutoire
Anterne,993879.779959307,6550570.55654821,993474.409205374,6550683.41688863
Arpont,995759.003370441,6475580.99614554,995905.807265472,6475544.7128602
Aumar,466779.644259581,6197903.6654216,466460.8731933203,6197913.254866834
Bionnassay,993609.559863437,6536106.29468425,993551.488581711,6536133.56821623
Blanc du Bramant,949201.084561683,6459894.08097419,949204.248008169,6460112.14029734
Blanc du Carro,1022612.00335966,6488541.99447518,1022439.7213066288,6488487.0367422495
Bramant,949313.804793341,6460622.01460905,949105.2602565438,6460702.629831136
Bresses inferieur,1039129.99997849,6349012.99501079,1039121.2880487018,6348967.297906973
Bresses superieur,1039280.125,6349194.773,1039345.0230603312,6349128.798582035
Brevent,996498.549654415,6543770.24160964,996352.071614358,6543851.99019827
Capitello,1196872.557,6142526.21,1196977.882047858,6142617.48779227
Corne,941554.252377959,6463049.14580771,941505.823949968,6462910.68470668
Cornu,997939.001959854,6547066.99804621,997774.839307153,6546943.765334793
Cos,941575.947246366,6464037.25322302,941787.4355453321,6464388.612851347
Izourt,576790.450899188,6177700.40458645,576760.136124132,6178194.335568835
Jovet,989898.001722303,6524350.99616946,989746.83503339,6524271.88706288
Lauzanier,1008404.9448872,6371943.91599937,1008443.92304678,6372108.33178153
Melo,1197722.43445757,6142652.29369558,1197786.50948567,6142750.9136662
Merlet superieur,984903.004835783,6479996.99607498,984995.871962999,6479883.48571406
Mont Coua,984999.796860399,6475279.32835665,984875.690265386,6475371.33280209
Muzelle,944228.998750495,6432722.00349571,944058.762789878,6432763.78216582
Nino,1190592.34125963,6146820.16103772,1190758.216827021,6146705.057175561
Noir du Carro,1022433.00243694,6488627.99995021,1022374.12731183,6488528.02513973
Pave,962072.249129459,6437558.96584516,962280.6881746528,6437466.14318127
Petarel,950533.564108661,6416487.27275022,950436.529126714,6416557.594612186
Pisses,967539.08525713,6408328.66212858,967491.799251007,6408244.64487038
Plan Vianney,939981.420133692,6433349.54074938,940137.357608528,6433468.43392867
Pormenaz,993721.116419414,6547328.35940879,993612.63825361,6547401.1830291
Rabuons,1017767.70966608,6360360.98687019,1017513.2115452708,6360189.492342015
Sarenne,945925.990529947,6451075.53166138,945903.231493138,6450970.95340399
